기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",4745154.0,18700760,1213145148.8,569136316,-550435555
"2022-01","1001","밀과 메슬린(meslin)",0.0,0,329013.7,118122,-118122
"2022-01","1005","옥수수",0.3,3,1019851.4,337687,-337685
"2022-01","1201","대두(부수었는지에 상관없다)",0.2,2,127779.6,81692,-81690
"2022-01","1507","대두유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)",218.1,444,35234.2,48360,-47916
"2022-01","1511","팜유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)",0.0,0,33314.7,44747,-44747
"2022-01","2601","철광과 그 정광(精鑛)[배소(焙燒)한 황화철광을 포함한다]",0.0,0,6034732.6,872093,-872093
"2022-01","2603","구리광과 그 정광(精鑛)",61260.2,138535,250447.8,738648,-600113
"2022-01","2606","알루미늄광과 그 정광(精鑛)",0.0,0,48150.1,4327,-4327
"2022-01","2701","석탄과 석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료",17.0,12,11217245.7,2070535,-2070523
"2022-01","2709","석유와 역청유(瀝靑油)(원유로 한정한다)",0.0,0,12619193.5,7791770,-7791770
"2022-01","2711","석유가스와 그 밖의 가스 상태의 탄화수소",31696.7,37901,5977448.5,6393872,-6355971
"2022-01","4001","천연고무ㆍ발라타(balata)ㆍ구타페르카(gutta-percha)ㆍ구아율(guayule)ㆍ치클(chicle)과 이와 유사한 천연 검(gum)[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다]",402.1,743,30307.7,54922,-54179
"2022-01","4403","원목[껍질ㆍ변재(邊材)를 벗긴 것인지 또는 거칠게 각을 뜬 것인지에 상관없다]",0.4,2,185822.9,35175,-35174
"2022-01","4407","제재목[길이의 방향으로 쪼갠 것, 평삭(平削)한 것, 회전식으로 절단한 것으로서 두께가 6밀리미터를 초과하는 것으로 한정하며, 대패질ㆍ연마ㆍ엔드-조인트한(end-jointed) 것인지에 상관없다]",214.5,532,75852.0,55387,-54855
"2022-01","5201","면[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]",56.2,136,7917.1,19712,-19577
"2022-01","7106","은(금이나 백금을 도금한 은을 포함하며, 가공하지 않은 것ㆍ반가공한 모양이나 가루 모양인 것으로 한정한다)",253.0,132825,61.5,11284,121541
"2022-01","7108","금(백금을 도금한 금을 포함하며, 가공하지 않은 것ㆍ반가공한 모양이나 가루 모양인 것으로 한정한다)",1.3,67910,3.4,183612,-115702
"2022-01","7110","백금(가공하지 않은 것ㆍ반가공한 모양이나 가루 모양인 것으로 한정한다)",1.0,76544,1.7,140373,-63829
"2022-01","7502","니켈의 괴(塊)",161.5,3348,3693.9,79669,-76321
"2022-01","7601","알루미늄의 괴(塊)",28535.4,83338,152489.3,469794,-386456
"2022-02","1001","밀과 메슬린(meslin)",0.0,0,304985.9,112580,-112580
"2022-02","1005","옥수수",0.7,3,843736.3,282682,-282679
"2022-02","1201","대두(부수었는지에 상관없다)",0.1,1,98221.1,64858,-64857
"2022-02","1507","대두유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)",163.9,323,12302.0,17349,-17026
"2022-02","1511","팜유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)",0.0,0,55412.3,72482,-72482
"2022-02","2601","철광과 그 정광(精鑛)[배소(焙燒)한 황화철광을 포함한다]",40051.7,2005,5093483.9,657335,-655330
"2022-02","2603","구리광과 그 정광(精鑛)",83310.5,181529,185611.9,547962,-366433
"2022-02","2606","알루미늄광과 그 정광(精鑛)",40.6,4,45528.5,3308,-3304
"2022-02","2701","석탄과 석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료",38.9,18,9901841.5,1955267,-1955249
"2022-02","2709","석유와 역청유(瀝靑油)(원유로 한정한다)",0.0,0,10563730.3,7259431,-7259431
"2022-02","2711","석유가스와 그 밖의 가스 상태의 탄화수소",20337.3,27755,4290257.8,3567512,-3539757
"2022-02","4001","천연고무ㆍ발라타(balata)ㆍ구타페르카(gutta-percha)ㆍ구아율(guayule)ㆍ치클(chicle)과 이와 유사한 천연 검(gum)[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다]",64.9,127,29693.4,54431,-54304
