기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",7628584.8,128567878,6007330.2,146567707,-17999829
"2022-01","2106","따로 분류되지 않은 조제 식료품",14619.2,54494,14162.6,193086,-138592
"2022-01","3004","의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다]",1146.8,63657,5776.3,436509,-372852
"2022-01","6101","남성용이나 소년용 오버코트(overcoat)ㆍ카코트(car-coat)ㆍ케이프(cape)ㆍ클록(cloak)ㆍ아노락(anorak)(스키재킷을 포함한다)ㆍ윈드치터(wind-cheater)ㆍ윈드재킷(wind-jacket)과 이와 유사한 의류(메리야스 편물과 뜨개질 편물로 한정하며, 제6103호의 것은 제외한다)",68.3,1296,68.2,2823,-1527
"2022-01","6111","유아용 의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다)",8.8,374,142.3,4540,-4166
"2022-01","6201","남성용이나 소년용 오버코트(overcoat)ㆍ카코트(car-coat)ㆍ케이프(cape)ㆍ클록(cloak)ㆍ아노락(anorak)(스키재킷을 포함한다)ㆍ윈드치터(wind-cheater)ㆍ윈드재킷(wind-jacket)과 이와 유사한 의류(제6203호의 것은 제외한다)",223.4,5487,839.2,43748,-38261
"2022-01","7308","철강으로 만든 구조물(제9406호의 조립식 건축물은 제외한다)과 구조물의 부분품[예: 다리와 교량ㆍ수문ㆍ탑ㆍ격자주(格子柱)ㆍ지붕ㆍ지붕틀ㆍ문과 창 및 이들의 틀과 문지방ㆍ셔터ㆍ난간ㆍ기둥], 구조물용으로 가공한 철강으로 만든 판ㆍ대ㆍ봉ㆍ형재(形材)ㆍ관(管)과 이와 유사한 것",32624.1,96980,39061.2,64395,32585
"2022-01","8432","농업용ㆍ원예용ㆍ임업용 기계(토양 정리용이나 경작용으로 한정한다)와 잔디용이나 운동장용 롤러",972.4,5760,1097.0,10289,-4529
"2022-01","8479","이 류에 따로 분류되지 않은 기계류(고유의 기능을 가진 것으로 한정한다)",16762.9,631143,5757.2,190969,440173
"2022-01","8502","발전세트와 회전변환기",1460.0,20060,1294.8,14403,5657
"2022-01","8503","부분품(제8501호나 제8502호의 기계에 전용되거나 주로 사용되는 것으로 한정한다)",3621.2,42373,5007.7,39273,3100
"2022-01","8507","축전지(격리판을 포함하며, 직사각형이나 정사각형인지에 상관없다)",88519.2,727393,14057.2,379495,347897
"2022-01","8509","전기기계식의 가정용 기기(전동기를 갖춘 것으로 한정하며, 제8508호의 진공청소기는 제외한다)",653.5,15000,2064.6,33927,-18927
"2022-01","8510","면도기ㆍ이발기ㆍ모발제거기[전동기를 갖춘 것으로 한정한다]",2.0,137,126.4,6342,-6205
